arm,n_features,auroc_mean,auroc_std,auprc_mean,f1_50_mean,prec_fpr_mean,rec_fpr_mean,thr_mean,delta_auroc,delta_std,ci95
full_16,16,0.6382,0.0147,0.6774,0.5907,0.848,0.1969,0.8669,0.0,0.0,0.0
drop_perplexity,10,0.5774,0.0108,0.6119,0.5494,0.777,0.1304,0.8522,-0.0608,0.008,0.007
drop_stylometric,10,0.5926,0.0156,0.6141,0.549,0.7324,0.1173,0.8582,-0.0456,0.0117,0.0103
drop_distribution,12,0.6305,0.0187,0.6712,0.5799,0.8271,0.2027,0.8582,-0.0078,0.0051,0.0044
only_perplexity,6,0.5684,0.0155,0.5853,0.5394,0.7035,0.112,0.8296,-0.0698,0.0129,0.0113
only_stylometric,6,0.5621,0.016,0.601,0.532,0.725,0.1442,0.8095,-0.0762,0.0088,0.0077
only_distribution,4,0.5,0.0095,0.5057,0.5042,0.5536,0.0482,0.8111,-0.1382,0.0221,0.0193
