arm,seed,n_features,n_train,n_test,auroc,auprc,t50_threshold,t50_accuracy,t50_precision,t50_recall,t50_f1,t50_fpr,t50_tn,t50_fp,t50_fn,t50_tp,tfpr_threshold,tfpr_accuracy,tfpr_precision,tfpr_recall,tfpr_f1,tfpr_fpr,tfpr_tn,tfpr_fp,tfpr_fn,tfpr_tp
only_perplexity,44,6,3523,979,0.5575539418221276,0.5785011904875386,0.5,0.5495403472931563,0.5552995391705069,0.49284253578732107,0.5222101841820151,0.39387755102040817,297,193,248,241,0.8685692846775055,0.5178753830439223,0.7073170731707317,0.05930470347648262,0.10943396226415095,0.024489795918367346,478,12,460,29
drop_stylometric,44,10,3523,979,0.5795021075915029,0.6021243215817805,0.5,0.5515832482124617,0.5578703703703703,0.49284253578732107,0.5233441910966341,0.38979591836734695,299,191,248,241,0.879355177283287,0.5311542390194075,0.7272727272727273,0.09815950920245399,0.17297297297297298,0.036734693877551024,472,18,441,48
only_stylometric,44,6,3523,979,0.5492487792663078,0.585947340721962,0.5,0.5270684371807968,0.5278969957081545,0.5030674846625767,0.5151832460732985,0.4489795918367347,270,220,243,246,0.8207931071519852,0.5393258426966292,0.7261904761904762,0.12474437627811862,0.21291448516579406,0.04693877551020408,467,23,428,61
drop_distribution,44,12,3523,979,0.6108384458077709,0.6541487230570886,0.5,0.5975485188968335,0.6077097505668935,0.5480572597137015,0.5763440860215053,0.35306122448979593,317,173,221,268,0.8676005452871323,0.5771195097037793,0.8440366972477065,0.18813905930470348,0.3076923076923077,0.03469387755102041,473,17,397,92
only_distribution,44,4,3523,979,0.510627686657485,0.5133190347313894,0.5,0.5045965270684372,0.5040160642570282,0.5132924335378323,0.5086119554204661,0.5040816326530613,243,247,238,251,0.7957978844642639,0.5035750766087844,0.5272727272727272,0.05930470347648262,0.10661764705882353,0.053061224489795916,464,26,460,29
full_16,45,16,3523,979,0.6418179541755352,0.6704748700204229,0.5,0.599591419816139,0.6042553191489362,0.5795918367346938,0.5916666666666667,0.3803680981595092,303,186,206,284,0.852323517203331,0.5822267620020429,0.7956204379562044,0.22244897959183674,0.34768740031897927,0.05725971370143149,461,28,381,109
drop_perplexity,45,10,3523,979,0.5823713534493552,0.6080888711971137,0.5,0.5597548518896833,0.5608247422680412,0.5551020408163265,0.5579487179487179,0.43558282208588955,276,213,218,272,0.8336162567138672,0.5464759959141982,0.6982758620689655,0.1653061224489796,0.26732673267326734,0.07157464212678936,454,35,409,81
only_perplexity,45,6,3523,979,0.5592400150244146,0.5742971159899519,0.5,0.5403472931562819,0.5434782608695652,0.5102040816326531,0.5263157894736842,0.4294478527607362,279,210,240,250,0.853189617395401,0.5209397344228804,0.6981132075471698,0.07551020408163266,0.13627992633517497,0.032719836400818,473,16,453,37
drop_stylometric,45,10,3523,979,0.5995096197988398,0.6194068197380567,0.5,0.5638406537282942,0.567741935483871,0.5387755102040817,0.5528795811518324,0.4110429447852761,288,201,226,264,0.8556120842695236,0.5413687436159347,0.759493670886076,0.12244897959183673,0.210896309314587,0.03885480572597137,470,19,430,60
only_stylometric,45,6,3523,979,0.5633425149200784,0.5960539021833628,0.5,0.5372829417773238,0.5364891518737672,0.5551020408163265,0.5456369107321966,0.48057259713701433,254,235,218,272,0.790299192070961,0.5393258426966292,0.6511627906976745,0.17142857142857143,0.27140549273021003,0.09202453987730061,444,45,406,84
drop_distribution,45,12,3523,979,0.638322691039606,0.6631893280225009,0.5,0.5914198161389173,0.5969827586206896,0.5653061224489796,0.5807127882599581,0.3824130879345603,302,187,213,277,0.8682025969028473,0.5689479060265578,0.8035714285714286,0.1836734693877551,0.29900332225913623,0.044989775051124746,467,22,400,90
only_distribution,45,4,3523,979,0.5075414214765661,0.5111770540398479,0.5,0.508682328907048,0.5087040618955513,0.536734693877551,0.522343594836147,0.5194274028629857,235,254,227,263,0.7851959615945816,0.5025536261491318,0.5263157894736842,0.061224489795918366,0.10968921389396709,0.05521472392638037,462,27,460,30
full_16,46,16,3523,979,0.6452318350653146,0.6885985447327141,0.5,0.6016343207354443,0.599601593625498,0.6142857142857143,0.6068548387096774,0.4110429447852761,288,201,189,301,0.8134487122297287,0.6046986721144024,0.7909604519774012,0.2857142857142857,0.4197901049475262,0.07566462167689161,452,37,350,140
drop_perplexity,46,10,3523,979,0.582540378114436,0.6256878805268333,0.5,0.550561797752809,0.549800796812749,0.563265306122449,0.5564516129032258,0.4621676891615542,263,226,214,276,0.8532072752714157,0.5454545454545454,0.8082191780821918,0.12040816326530612,0.20959147424511546,0.028629856850715747,475,14,431,59
only_perplexity,46,6,3523,979,0.5930345144192646,0.6139873175416113,0.5,0.5669050051072523,0.5622641509433962,0.6081632653061224,0.5843137254901961,0.47443762781186094,257,232,192,298,0.8176854848861694,0.5515832482124617,0.7684210526315789,0.1489795918367347,0.24957264957264957,0.044989775051124746,467,22,417,73
drop_stylometric,46,10,3523,979,0.6142126789366054,0.6489066226354553,0.5,0.5597548518896833,0.5588822355289421,0.5714285714285714,0.5650857719475277,0.45194274028629855,268,221,210,280,0.8497198075056076,0.550561797752809,0.7840909090909091,0.14081632653061224,0.23875432525951557,0.03885480572597137,470,19,421,69
only_stylometric,46,6,3523,979,0.5826008931179834,0.6173176356253646,0.5,0.5607763023493361,0.5622406639004149,0.5530612244897959,0.5576131687242798,0.43149284253578735,278,211,219,271,0.822278767824173,0.5515832482124617,0.7865168539325843,0.14285714285714285,0.24179620034542315,0.03885480572597137,470,19,420,70
drop_distribution,46,12,3523,979,0.6428049747506364,0.6854054689195395,0.5,0.6046986721144024,0.6036217303822937,0.6122448979591837,0.60790273556231,0.40286298568507156,292,197,190,300,0.8138287365436554,0.5944841675178754,0.7513513513513513,0.2836734693877551,0.41185185185185186,0.09406952965235174,443,46,351,139
only_distribution,46,4,3523,979,0.48792203998163675,0.49598551358303705,0.5,0.4923391215526047,0.4931506849315068,0.5142857142857142,0.5034965034965035,0.5296523517382413,230,259,238,252,0.8345691859722137,0.5005107252298263,0.5151515151515151,0.03469387755102041,0.06500956022944551,0.032719836400818,473,16,473,17
