threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,seed
0.7,0.8745228487294143,0.9253158285855834,0.8148107754389792,0.866554543872876,0.06576507798015051,8566,603,1698,7471,43
0.75,0.8657432653506381,0.9352368591823491,0.7859090413349329,0.854095057484888,0.054422510633656884,8670,499,1963,7206,43
0.8,0.853037408659614,0.943546177034804,0.7510088341149526,0.8363393453573814,0.04493401679572472,8757,412,2283,6886,43
0.85,0.8345512051477806,0.9545117795228922,0.7025847965972298,0.8093981655986933,0.033482386301668665,8862,307,2727,6442,43
0.9,0.8007416294034246,0.9688828430539024,0.6214418148107754,0.7572093023255814,0.019958556003926275,8986,183,3471,5698,43
0.95,0.7282146362744029,0.9826989619377162,0.46460900861598864,0.6309241706161137,0.008179736067182898,9094,75,4909,4260,43
0.05,0.7445195768349875,0.6640567832577199,0.9897480641291307,0.7948324939785417,0.5007089104591559,4578,4591,94,9075,44
0.1,0.8029228923546734,0.7237213048731373,0.9799323808485113,0.8325611564121571,0.37408659613916456,5739,3430,184,8985,44
0.15,0.8325880684916567,0.7606187505341424,0.970662013305704,0.8528988979396263,0.30548587632239066,6368,2801,269,8900,44
0.2,0.8505289562656778,0.7865038331253343,0.9622641509433962,0.8655515769853338,0.26120623841204055,6774,2395,346,8823,44
0.25,0.86225324462864,0.8072902211120363,0.9516850256298397,0.8735609170087095,0.22717853637255972,7086,2083,443,8726,44
0.3,0.8700512596793544,0.8248133256748995,0.9396880793979714,0.8785113433596737,0.19958556003926273,7339,1830,553,8616,44
0.35,0.8756680117788199,0.8402647436530672,0.9276911331661032,0.8818162969106366,0.1763551096084633,7552,1617,663,8506,44
0.4,0.8803031955502236,0.8539382866423061,0.9175482604427964,0.8846012302192314,0.15694186934234922,7730,1439,756,8413,44
0.45,0.8824844585014724,0.8657697121401752,0.9053331879158032,0.8851095590979368,0.14036427091285855,7882,1287,868,8301,44
0.5,0.8841204057149089,0.8778969957081545,0.892354673355873,0.8850667964735789,0.12411386192605518,8031,1138,987,8182,44
0.55,0.8850474424691896,0.8909312368508471,0.8775220852873814,0.8841758241758242,0.10742720034900208,8184,985,1123,8046,44
0.6,0.8829207110917221,0.9019001831501832,0.8593085396444541,0.8800893605138229,0.09346711746100993,8312,857,1290,7879,44
0.65,0.8783400588940997,0.9112138454243718,0.8383684153124659,0.8732746378869639,0.08168829752426655,8420,749,1482,7687,44
0.7,0.8725597120732904,0.9205860625461709,0.8154651543243538,0.8648429818980973,0.07034573017777293,8524,645,1692,7477,44
0.75,0.8626894972188898,0.9303740132004659,0.7840549678263715,0.8509706439393939,0.058675973388592,8631,538,1980,7189,44
0.8,0.8487839459046788,0.9397689768976898,0.7453375504417058,0.8313362934128095,0.04776965863234813,8731,438,2335,6834,44
0.85,0.8286617951794089,0.9497089986569168,0.6940778710873596,0.8020163831127914,0.036754280728541824,8832,337,2805,6364,44
0.9,0.7960519140582397,0.9629882312809142,0.6157705311375287,0.7511974454497073,0.023666703021049187,8952,217,3523,5646,44
0.95,0.7295233940451521,0.9810285714285715,0.4680990293379867,0.6337861783815711,0.009052241247682408,9086,83,4877,4292,44
0.05,0.7494819500490785,0.6681861627821484,0.9911658850474425,0.7982433025911286,0.49220198494928563,4656,4513,81,9088,45
0.1,0.8054313447486094,0.7260108143007021,0.9811320754716981,0.8345083487940631,0.3702693859744792,5774,3395,173,8996,45
0.15,0.8332969789508126,0.7613752993499829,0.9708801396008289,0.8534586069699439,0.30428618169920385,6379,2790,267,8902,45
0.2,0.8523284982004581,0.7881030946223134,0.9637910350092703,0.8671376704935727,0.2591340386083542,6793,2376,332,8837,45
0.25,0.8653615443341695,0.8097263313609467,0.9551750463518377,0.8764573430072554,0.22445195768349874,7111,2058,411,8758,45
0.3,0.8731595593848839,0.8271970928564598,0.9433962264150944,0.8814837460511566,0.19707710764532665,7362,1807,519,8650,45
0.35,0.8776311484349438,0.8408307904321292,0.931617406478351,0.8838990066225165,0.1763551096084633,7552,1617,627,8542,45
0.4,0.8807394481404733,0.8542723766998174,0.9180935761806086,0.8850339063239236,0.1566146798996619,7733,1436,751,8418,45
0.45,0.8818846111898789,0.865157993534258,0.9047878721779911,0.884529267512528,0.14101864979823317,7876,1293,873,8296,45
0.5,0.8830297742392845,0.8780409041980625,0.889628094666812,0.8837965220217779,0.12356854618824299,8036,1133,1012,8157,45
0.55,0.8833569636819718,0.8890856763338499,0.8759952012215072,0.8824918969400648,0.10928127385756353,8167,1002,1137,8032,45
0.6,0.8809575744355982,0.8997482261387045,0.8574544661358927,0.8780923661138103,0.09553931726469626,8293,876,1307,7862,45
0.65,0.8769767695495692,0.9103644782144129,0.8362962155087795,0.8717598908594816,0.08234267640964119,8414,755,1501,7668,45
0.7,0.8730504962373214,0.9224404100284056,0.8145926491438543,0.8651685393258427,0.06849165666921148,8541,628,1700,7469,45
0.75,0.8647616970225761,0.9342942475003246,0.7847093467117461,0.8529934795494961,0.05518595266659396,8663,506,1974,7195,45
0.8,0.8515105245937398,0.9432068206820682,0.7480641291307667,0.8343774709567544,0.04504307994328716,8756,413,2310,6859,45
0.85,0.8298614898025957,0.9551542513167796,0.6922237975787982,0.8027064626280511,0.03250081797360672,8871,298,2822,6347,45
0.9,0.7959428509106773,0.9677641785898983,0.6122805104155306,0.7500334001336005,0.020394808594176028,8982,187,3555,5614,45
