arm,seed,n_features,n_train,n_test,auroc,auprc,t50_threshold,t50_accuracy,t50_precision,t50_recall,t50_f1,t50_fpr,t50_tn,t50_fp,t50_fn,t50_tp,tfpr_threshold,tfpr_accuracy,tfpr_precision,tfpr_recall,tfpr_f1,tfpr_fpr,tfpr_tn,tfpr_fp,tfpr_fn,tfpr_tp
drop_stylometric,43,10,66015,18338,0.813410130568773,0.8339876567066327,0.5,0.7296324571927146,0.7589472389619973,0.6730286836078089,0.7134104046242774,0.21376376922237975,7209,1960,2998,6171,0.7358111828565593,0.6887337768568,0.8962674604991986,0.4268731595593849,0.5783096926713948,0.04940560584578471,8716,453,5255,3914
only_stylometric,43,6,66015,18338,0.9096550455991367,0.8972692960994297,0.5,0.8320972843276256,0.8189149560117303,0.8527647507907078,0.8354971416359459,0.18857018213545643,7440,1729,1350,7819,0.835466334223747,0.747137092376486,0.9196296296296296,0.5416075907950704,0.6817214633811518,0.047333406042098375,8735,434,4203,4966
drop_distribution,43,12,66015,18338,0.9492358032438966,0.9484515347753548,0.5,0.8789399062056931,0.8753375823700983,0.8837386846984404,0.8795180722891566,0.1258588722870542,8015,1154,1066,8103,0.7965339779853812,0.8422401570509325,0.9392497200447928,0.7318137201439634,0.8226567768037761,0.047333406042098375,8735,434,2459,6710
only_distribution,43,4,66015,18338,0.6660735498125199,0.6837644605889341,0.5,0.613861926055186,0.6341557440246723,0.5382266332206348,0.5822665329479086,0.31050278111026286,6322,2847,4234,4935,0.7241161525249477,0.5874141127712946,0.8156754627806223,0.22586977860181046,0.35377519644687394,0.05104155305922129,8701,468,7098,2071
full_16,44,16,66015,18338,0.9520897035527096,0.9522927543604983,0.5,0.8841204057149089,0.8778969957081545,0.892354673355873,0.8850667964735789,0.12411386192605518,8031,1138,987,8182,0.8022770792245861,0.8485112880357727,0.9408194233687405,0.7438106663758316,0.8307954683883543,0.046788090304286184,8740,429,2349,6820
drop_perplexity,44,10,66015,18338,0.9235156644190825,0.916201082241838,0.5,0.8485112880357727,0.8386139663028505,0.8631257498091395,0.8506933247339568,0.16610317373759406,7646,1523,1255,7914,0.8235940098762512,0.790380630384993,0.9228203906622201,0.633765950485331,0.751454804086383,0.053004689715345187,8683,486,3358,5811
only_perplexity,44,6,66015,18338,0.7674114604754451,0.7877058424324878,0.5,0.6930417711855165,0.7172312223858616,0.6373650343548914,0.6749436969451984,0.25128149198385863,6865,2304,3325,5844,0.7495334804058075,0.6503980804886029,0.8778082191780822,0.34943832479005343,0.4998829861923707,0.04864216381284764,8723,446,5965,3204
drop_stylometric,44,10,66015,18338,0.8071687424567084,0.829296111335212,0.5,0.7231431999127494,0.7520946278955151,0.6657214527211255,0.7062771188892103,0.21943505289562656,7157,2012,3065,6104,0.7313955456018445,0.6861707928890828,0.8933179723502304,0.42283782309957463,0.5739877118957731,0.05049623732140909,8706,463,5292,3877
only_stylometric,44,6,66015,18338,0.9033494257282284,0.890486905235794,0.5,0.826698658523285,0.8119337706966573,0.8503653615443342,0.8307053057745578,0.1969680444977642,7363,1806,1372,7797,0.8386752188205718,0.7387392300141782,0.912241054613936,0.5283018867924528,0.6691069825264175,0.05082342676409641,8703,466,4325,4844
drop_distribution,44,12,66015,18338,0.9448871823277116,0.9450222783332819,0.5,0.8727778383684153,0.8679224973089343,0.8793761587959429,0.8736117882875563,0.13382048205911223,7942,1227,1106,8063,0.8086046963930126,0.8326971316392191,0.9351019825987733,0.7150179954193479,0.8103831891223733,0.049623732140909586,8714,455,2613,6556
only_distribution,44,4,66015,18338,0.6650312229985,0.6841302646167081,0.5,0.6121169156941869,0.6342737722048067,0.5296106445632021,0.5772362555720654,0.30537681317482823,6369,2800,4313,4856,0.7203271239995956,0.5903588177554804,0.8202551217626595,0.23143199912749482,0.36100714528751277,0.050714363616533975,8704,465,7047,2122
full_16,45,16,66015,18338,0.9538795809867378,0.9538880803371194,0.5,0.8830297742392845,0.8780409041980625,0.889628094666812,0.8837965220217779,0.12356854618824299,8036,1133,1012,8157,0.7779760003089904,0.8588722870542044,0.9396125584502338,0.767041116806631,0.8446018974420559,0.04929654269822227,8717,452,2136,7033
